PLACENAME,GEOID,TOTPOP2020
Price city,4962030,8216
Providence city,4962360,8218
Provo city,4962470,115162
Randlett CDP,4962910,184
Randolph town,4963020,467
Redmond town,4963240,762
Richfield city,4963570,8201
Richmond city,4963680,2914
Riverdale city,4964120,9343
River Heights city,4964010,2144
Riverside CDP,4964230,971
Riverton city,4964340,45285
Rockville town,4964560,226
Rocky Ridge town,4964590,848
Roosevelt city,4964670,6747
Roy city,4965110,39306
Rush Valley town,4965240,431
St. George city,4965770,95342
Salem city,4965880,9298
Salina city,4967000,2441
Salt Lake City city,4967400,199723
Samak CDP,4967440,93
Sandy city,4967660,96904
Santa Clara city,4967770,7553
Santaquin city,4967825,13725
Saratoga Springs city,4967880,37696
Scipio town,4967990,353
Scofield town,4968650,26
Sigurd town,4969280,405
Silver Summit CDP,4969640,1694
Smithfield city,4969970,13571
Snowville town,4970190,163
Snyderville CDP,4970850,6744
South Jordan city,4970960,77487
South Ogden city,4971070,17488
South Salt Lake city,4971180,26777
South Weber city,4971255,7867
South Willard CDP,4971290,1840
Spanish Fork city,4971455,42602
Spanish Valley CDP,4971730,529
Spring City city,4972060,949
Springdale town,4972170,514
Spring Glen CDP,4971840,1054
Spring Lake CDP,4972280,528
Springville city,4965330,35268
Stansbury Park CDP,4972720,9851
Sterling town,4972940,274
Stockton town,4973050,621
Summit CDP,4974040,170
Summit Park CDP,4974095,8820
Sundance CDP,4974260,113
Sunset city,4974480,5475
Sutherland CDP,4974590,147
Syracuse city,4974810,32141
Tabiona town,4974920,143
Taylorsville city,4975360,60448
Teasdale CDP,4975470,140
Thatcher CDP,4975800,807
Thompson Springs CDP,4976180,34
Timber Lakes CDP,4976280,866
Tooele city,4976680,35742
Toquerville city,4976900,1870
Torrey town,4977010,231
Tremonton city,4977120,9894
Trenton town,4977230,512
Tropic town,4977560,486
Tselakai Dezza CDP,4977697,95
Uintah town,4977890,1454
Vernal city,4980090,10079
Vernon town,4980200,256
Veyo CDP,4980310,586
Vineyard town,4980420,12543
Virgin town,4980530,670
Wales town,4980860,338
Wallsburg town,4980970,290
Wanship CDP,4981190,423
Washington city,4981960,27993
Washington Terrace city,4982070,9267
Wellington city,4982510,1605
Wellsville city,4982620,4060
Wendover city,4982730,1115
West Bountiful city,4982840,5917
West Haven city,4982930,16739
West Jordan city,4982950,116961
West Mountain CDP,4983252,1250
West Point city,4983390,10963
West Valley City city,4983470,140230
West Wood CDP,4983730,1066
White City metro township,4984050,5522
White Mesa CDP,4984095,178
Whiterocks CDP,4984160,221
Willard city,4984710,1978
Wolf Creek CDP,4984950,1645
Woodland CDP,4985040,375
Woodland Hills city,4985050,1521
Woodruff town,4985260,169
Woods Cross city,4985370,11410
